SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
180694,0,Cash loans,F,N,Y,0,135000.0,1164307.5,51939.0,1071000.0,Family,Working,Incomplete higher,Married,House / apartment,0.00733,-16461,-3228,-728.0,-14,,1,1,0,1,1,0,Sales staff,2.0,2,2,TUESDAY,11,0,0,0,0,0,0,Self-employed,,0.2387106127851855,0.5549467685334323,0.0825,0.1089,0.9881,0.8368,0.0171,0.0,0.1379,0.1667,0.2083,0.0505,0.0672,0.0861,0.0,0.0,0.084,0.113,0.9881,0.8432,0.0173,0.0,0.1379,0.1667,0.2083,0.0516,0.0735,0.0897,0.0,0.0,0.0833,0.1089,0.9881,0.8390000000000001,0.0172,0.0,0.1379,0.1667,0.2083,0.0514,0.0684,0.0876,0.0,0.0,reg oper account,block of flats,0.0771,Panel,No,2.0,0.0,2.0,0.0,-690.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
421702,0,Cash loans,F,N,Y,0,112500.0,536917.5,17874.0,463500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.00702,-22779,365243,-2454.0,-2623,,1,0,0,1,0,0,,2.0,2,2,SUNDAY,11,0,0,0,0,0,0,XNA,,0.1237957551983311,0.5937175866150576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
152364,0,Cash loans,F,Y,Y,2,90000.0,592560.0,35937.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.02461,-13186,-243,-6132.0,-2253,3.0,1,1,0,1,1,0,Sales staff,4.0,2,2,TUESDAY,16,0,0,0,0,0,0,Business Entity Type 3,,0.6963901477262676,,0.2268,,0.9831,,0.0454,0.16,0.1379,0.3333,,0.1344,0.1807,0.2173,0.0193,0.0624,0.2311,,0.9831,,0.0458,0.1611,0.1379,0.3333,,0.1375,0.1974,0.2264,0.0195,0.0661,0.229,,0.9831,,0.0457,0.16,0.1379,0.3333,,0.1367,0.1838,0.2212,0.0194,0.0637,,block of flats,0.2093,Block,No,6.0,0.0,6.0,0.0,-1588.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
233297,0,Cash loans,F,Y,Y,0,247500.0,1215000.0,33412.5,1215000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.035792,-14857,-719,-2678.0,-2692,4.0,1,1,0,1,0,0,Sales staff,2.0,2,2,SATURDAY,16,0,0,0,0,0,0,Self-employed,0.8297963078936421,0.5109011456060246,0.8327850252992314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1742.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
218439,0,Revolving loans,F,Y,Y,1,189000.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.010643,-9195,-372,-8662.0,-1853,0.0,1,1,0,1,1,0,,2.0,2,2,MONDAY,9,0,1,1,0,0,0,Business Entity Type 3,0.4255721827124024,0.6575128223558859,0.7062051096536562,0.0165,0.0,0.9697,,,0.0,0.1034,0.0417,,0.0327,,0.0156,,0.0072,0.0168,0.0,0.9697,,,0.0,0.1034,0.0417,,0.0334,,0.0162,,0.0076,0.0167,0.0,0.9697,,,0.0,0.1034,0.0417,,0.0332,,0.0158,,0.0073,,block of flats,0.0138,"Stone, brick",No,0.0,0.0,0.0,0.0,-937.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
326536,0,Cash loans,M,N,Y,0,180000.0,593010.0,23107.5,495000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.0228,-9869,-403,-3240.0,-2548,,1,1,0,1,0,0,Laborers,2.0,2,2,TUESDAY,14,0,0,0,1,1,0,Other,0.1668551407562558,0.5036482381510776,0.4992720153045617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-258.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
337991,1,Cash loans,F,Y,Y,3,90000.0,450000.0,22018.5,450000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.0145199999999999,-14598,-1167,-2668.0,-5576,6.0,1,1,1,1,1,0,Cleaning staff,5.0,2,2,SATURDAY,13,0,0,0,0,1,1,Business Entity Type 3,,0.3442507292017128,0.4048783643353997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-448.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
394287,0,Cash loans,F,N,Y,0,225000.0,900000.0,46084.5,900000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.0145199999999999,-23143,365243,-7942.0,-4813,,1,0,0,1,0,0,,2.0,2,2,TUESDAY,14,0,0,0,0,0,0,XNA,,0.5263661090806488,0.6940926425266661,,,0.9861,0.8096,,,0.2069,0.3333,,,,,,,,,0.9861,0.8171,,,0.2069,0.3333,,,,,,,,,0.9861,0.8121,,,0.2069,0.3333,,,,,,,,block of flats,0.1839,,No,0.0,0.0,0.0,0.0,-165.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
269821,0,Cash loans,M,N,Y,0,112500.0,47970.0,4873.5,45000.0,Unaccompanied,Working,Secondary / secondary special,Married,Rented apartment,0.007114,-18060,-1047,-4000.0,-1612,,1,1,0,1,0,0,Laborers,2.0,2,2,SATURDAY,11,0,0,0,0,0,0,Business Entity Type 3,,0.6857465937819092,0.7597121819739279,0.0804,,0.9866,,,0.04,0.0345,0.1667,,0.0275,,0.0196,,0.0,0.0819,,0.9866,,,0.0403,0.0345,0.1667,,0.0282,,0.0204,,0.0,0.0812,,0.9866,,,0.04,0.0345,0.1667,,0.028,,0.02,,0.0,,block of flats,0.0356,"Stone, brick",No,0.0,0.0,0.0,0.0,-1800.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
118501,0,Cash loans,F,N,N,0,76500.0,414000.0,15736.5,414000.0,Unaccompanied,Pensioner,Higher education,Separated,House / apartment,0.01885,-23300,365243,-9756.0,-4591,,1,0,0,1,1,0,,1.0,2,2,MONDAY,15,0,0,0,0,0,0,XNA,,0.31248748368633,0.501075160239048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1071.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
317040,0,Cash loans,F,N,Y,0,270000.0,1078200.0,31522.5,900000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.04622,-16173,-2008,-4193.0,-3315,,1,1,1,1,1,0,,1.0,1,1,TUESDAY,11,0,1,1,0,1,1,Business Entity Type 3,,0.5299627959490466,0.3893387918468769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2769.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0
274775,0,Cash loans,M,N,Y,0,112500.0,646920.0,20997.0,540000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.008625,-14326,-1074,-1310.0,-439,,1,1,0,1,0,0,Laborers,1.0,2,2,TUESDAY,10,0,0,0,0,1,1,Industry: type 3,0.4245136790021563,0.5481847059360629,0.2020866016820394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-947.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
190589,0,Cash loans,F,N,Y,0,202500.0,870984.0,36900.0,778500.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,Office apartment,0.072508,-22698,365243,-337.0,-4914,,1,0,0,1,1,0,,1.0,1,1,WEDNESDAY,15,0,0,0,0,0,0,XNA,,0.6246431909090522,0.2250868621163805,0.2835,0.2251,0.9767,0.6804,0.1283,0.0,0.3621,0.1667,0.2083,0.0,0.2505,0.1345,0.0,0.0,0.2647,0.1246,0.9767,0.6929,0.1295,0.0,0.2069,0.1667,0.2083,0.0,0.2736,0.1065,0.0,0.0,0.2863,0.2251,0.9767,0.6847,0.1291,0.0,0.3621,0.1667,0.2083,0.0,0.2548,0.1369999999999999,0.0,0.0,reg oper account,block of flats,0.2014,Panel,No,3.0,1.0,3.0,0.0,-395.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
288169,0,Cash loans,F,N,Y,0,112500.0,598486.5,21627.0,454500.0,Unaccompanied,State servant,Secondary / secondary special,Civil marriage,House / apartment,0.035792,-19528,-738,-9697.0,-1911,,1,1,0,1,0,0,Laborers,2.0,2,2,THURSDAY,9,0,0,0,0,1,1,Military,,0.5963023110394031,0.4489622731076524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-347.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,2.0
165493,0,Cash loans,M,Y,N,0,56250.0,454500.0,19255.5,454500.0,Family,Pensioner,Higher education,Married,House / apartment,0.04622,-23314,365243,-195.0,-4312,3.0,1,0,0,1,1,0,,2.0,1,1,THURSDAY,8,0,0,0,0,0,0,XNA,0.7452483804539293,0.4318197081544746,0.6075573001388961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-765.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0
147929,0,Cash loans,M,N,Y,0,135000.0,545040.0,39627.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.020713,-11553,-1108,-4864.0,-2798,,1,1,0,1,0,0,Laborers,1.0,3,2,TUESDAY,12,0,0,0,0,0,0,Business Entity Type 2,0.217898993700067,0.3396695922165068,0.3392876999089139,0.2062,0.2553,0.9871,0.8232,0.0515,0.24,0.2069,0.3333,0.0417,0.1524,0.1614,0.2083,0.0309,0.1617,0.2101,0.2649,0.9871,0.8301,0.0519,0.2417,0.2069,0.3333,0.0417,0.1559,0.1763,0.217,0.0311,0.1712,0.2082,0.2553,0.9871,0.8256,0.0518,0.24,0.2069,0.3333,0.0417,0.1551,0.1642,0.2121,0.0311,0.1651,reg oper account,block of flats,0.199,Panel,No,0.0,0.0,0.0,0.0,-380.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0
276339,0,Cash loans,F,N,Y,0,270000.0,1258650.0,53455.5,1125000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.0196889999999999,-13051,-2445,-805.0,-4188,,1,1,0,1,0,1,,2.0,2,2,THURSDAY,16,0,0,0,0,0,0,Construction,0.5100873333199166,0.7636485619996934,0.0861616623809292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
429544,0,Cash loans,M,Y,N,0,225000.0,1381113.0,36562.5,1206000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.04622,-12231,-423,-6311.0,-4301,7.0,1,1,0,1,0,0,Laborers,2.0,1,1,WEDNESDAY,13,0,0,0,0,1,1,Business Entity Type 3,,0.6898692733735727,0.6594055320683344,0.0495,0.0739,0.9806,0.7348,0.031,0.0,0.1379,0.125,0.1667,0.0468,0.0403,0.0274,0.0,0.0,0.0504,0.0767,0.9806,0.7452,0.0313,0.0,0.1379,0.125,0.1667,0.0479,0.0441,0.0285,0.0,0.0,0.05,0.0739,0.9806,0.7383,0.0312,0.0,0.1379,0.125,0.1667,0.0476,0.041,0.0279,0.0,0.0,reg oper account,block of flats,0.0385,Panel,No,5.0,0.0,5.0,0.0,-1567.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
